locationKey,state,femaRegion,region,designatedArea,fipsStateCode,fipsCountyCode,placeCode
946,AK,Region 10,10,Copper River Regional Educational Attendance Area,2,240,17365
947,AK,Region 10,10,Yukon Flats Regional Educational Attendance Area,2,240,86640
948,NC,Region 4,4,Bladen (County),37,17,99017
949,NC,Region 4,4,Beaufort (County),37,13,99013
950,NC,Region 4,4,Bertie (County),37,15,99015
951,NC,Region 4,4,Brunswick (County),37,19,99019
952,NC,Region 4,4,Camden (County),37,29,99029
953,NC,Region 4,4,Carteret (County),37,31,99031
954,NC,Region 4,4,Chowan (County),37,41,99041
955,NC,Region 4,4,Columbus (County),37,47,99047
956,NC,Region 4,4,Craven (County),37,49,99049
957,NC,Region 4,4,Currituck (County),37,53,99053
958,NC,Region 4,4,Dare (County),37,55,99055
959,NC,Region 4,4,Duplin (County),37,61,99061
960,NC,Region 4,4,Edgecombe (County),37,65,99065
961,NC,Region 4,4,Gates (County),37,73,99073
962,NC,Region 4,4,Greene (County),37,79,99079
963,NC,Region 4,4,Halifax (County),37,83,99083
964,NC,Region 4,4,Hertford (County),37,91,99091
965,MT,Region 8,8,Blaine (County),30,5,99005
966,MT,Region 8,8,Hill (County),30,41,99041
967,MT,Region 8,8,Park (County),30,67,99067
968,MT,Region 8,8,Roosevelt (County),30,85,99085
969,MT,Region 8,8,Sheridan (County),30,91,99091
970,MT,Region 8,8,Valley (County),30,105,99105
971,NJ,Region 2,2,Warren (County),34,41,99041
972,NC,Region 4,4,Hyde (County),37,95,99095
973,NC,Region 4,4,Johnston (County),37,101,99101
974,NC,Region 4,4,Jones (County),37,103,99103
975,NC,Region 4,4,Lenoir (County),37,107,99107
976,NC,Region 4,4,Martin (County),37,117,99117
977,NC,Region 4,4,Nash (County),37,127,99127
978,NC,Region 4,4,New Hanover (County),37,129,99129
979,NC,Region 4,4,Northampton (County),37,131,99131
980,NC,Region 4,4,Onslow (County),37,133,99133
981,NC,Region 4,4,Pamlico (County),37,137,99137
982,NC,Region 4,4,Pasquotank (County),37,139,99139
983,NC,Region 4,4,Pender (County),37,141,99141
984,NC,Region 4,4,Perquimans (County),37,143,99143
985,NC,Region 4,4,Pitt (County),37,147,99147
986,NC,Region 4,4,Sampson (County),37,163,99163
987,NC,Region 4,4,Tyrrell (County),37,177,99177
988,NC,Region 4,4,Vance (County),37,181,99181
989,NC,Region 4,4,Warren (County),37,185,99185
