locationKey,state,femaRegion,region,designatedArea,fipsStateCode,fipsCountyCode,placeCode
337,GA,Region 4,4,Dade (County),13,83,99083
338,NC,Region 4,4,Transylvania (County),37,175,99175
339,HI,Region 9,9,Honolulu (County),15,3,99003
340,WA,Region 10,10,Cowlitz Reservation,53,0,15354
341,TX,Region 6,6,Bosque (County),48,35,99035
342,TN,Region 4,4,Bledsoe (County),47,7,99007
343,TN,Region 4,4,Hamilton (County),47,65,99065
344,TN,Region 4,4,Sequatchie (County),47,153,99153
345,KY,Region 4,4,Breathitt (County),21,25,99025
346,CO,Region 8,8,Custer (County),8,27,99027
347,CO,Region 8,8,Pueblo (County),8,101,99101
348,ID,Region 10,10,Bonneville (County),16,19,99019
349,GA,Region 4,4,Baldwin (County),13,9,99009
350,GA,Region 4,4,Banks (County),13,11,99011
351,CA,Region 9,9,San Luis Obispo (County),6,79,99079
352,GA,Region 4,4,Barrow (County),13,13,99013
353,GA,Region 4,4,Bartow (County),13,15,99015
354,WA,Region 10,10,Benton (County),53,5,99005
355,CA,Region 9,9,Fresno (County),6,19,99019
356,WY,Region 8,8,Uinta (County),56,41,99041
357,GA,Region 4,4,Bibb (County),13,21,99021
358,WY,Region 8,8,Fremont (County),56,13,99013
359,GA,Region 4,4,Bleckley (County),13,23,99023
